Data,Título,Descrição,Link,Classificação
26/09/2024,Anvisa publica código de assunto para projeto-piloto da bula digital,Empresas devem notificar implementação do repositório de informações eletrônicas.,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/anvisa-publica-codigo-de-assunto-para-projeto-piloto-da-bula-digital,"Anvisa, Bula digital, Projeto piloto, Repositório de informações eletrônicas "
26/09/2024,Anvisa revisa e consolida norma da área de Dispositivos Médicos,"O texto normativo foi alterado apenas para ajustes de forma, no âmbito do processo de revisão e consolidação de normas previsto no Decreto 12.002/2024.",https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/anvisa-revisa-e-consolida-a-norma-da-area-de-dispositivos-medicos,"Dispositivos Médicos, Regulamentação "
25/09/2024,Anvisa promove encontro para apresentar suas estratégias no uso de dados e IA,"Na ocasião, foram apresentadas as iniciativas da Agência para promover uma cultura focada em dados e inteligência artificial, que otimiza as atividades cotidianas.",https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/anvisa-promove-encontro-para-apresentar-suas-estrategias-no-uso-de-dados-e-ia,"Inteligência Artificial, Dados, Estratégias "
25/09/2024,Servidoras representam Anvisa no programa LideraGOV 4.0,Quarta edição teve como foco pessoas negras na administração pública federal.,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/servidoras-representam-anvisa-no-programa-lideragov-4.0,"Programa LideraGOV, Anvisa, Pessoas negras, Administração Pública Federal "
25/09/2024,Anvisa publica painel com lista dos princípios ativos de medicamentos que aguardam registro,Nova ferramenta permitirá saber a quantidade de pedidos de registro de cada princípio ativo.,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/anvisa-publica-painel-com-lista-dos-principios-ativos-de-medicamentos-que-aguardam-registro,"Medicamentos, Registro, Princípios Ativos "
24/09/2024,Anvisa orienta sobre uso seguro de fórmulas infantis,Saiba mais sobre a regularização desses produtos e como notificar eventos adversos.,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/anvisa-orienta-sobre-uso-seguro-de-formulas-infantis,"Fórmulas infantis, Segurança, Regulamentação, Eventos adversos "
24/09/2024,Alterado calendário de reuniões da Dicol,Diretores da Anvisa farão mais uma reunião no dia 9/10.,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/alterado-calendario-de-reunioes-da-dicol,"Reunião, Anvisa, Calendário "
24/09/2024,Anvisa revisa e consolida normas das áreas de Cosméticos e Saneantes,"Medida atende ao Decreto 12.002/2024, que estabelece normas para elaboração, redação, alteração e consolidação de atos normativos.",https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/anvisa-revisa-e-consolida-normas-das-areas-de-cosmeticos-e-saneantes,"Regulamentação, Saneantes, Cosméticos "
24/09/2024,Anvisa alerta para riscos do uso de produtos à base de células-tronco sem aprovação,"Fique atento às promessas de curas e tratamentos milagrosos, e conheça os usos autorizados no país.",https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/anvisa-alerta-para-riscos-do-uso-de-produtos-a-base-de-celulas-tronco-sem-aprovacao,"Células-tronco, Saúde, Regulamentação, Riscos "
23/09/2024,Anvisa e Unesco selecionam consultor técnico especializado para área de medicamentos,O período para recebimento dos currículos vai de 23 a 27 de setembro. Participe!,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/anvisa-e-unesco-selecionam-consultor-tecnico-especializado-para-area-de-medicamentos,"Concurso, Medicamentos, UNESCO "
20/09/2024,Anvisa participa da Cúpula Global de Ciência Regulatória,"Em sua 14ª edição, a conferência anual foi sediada pela US Food and Drug Administration - FDA, e teve como tema a transformação digital em ciência regulatória.",https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/anvisa-participa-da-cupula-global-de-ciencia-regulatoria,"Evento Internacional, FDA, Transformação Digital "
19/09/2024,Reforço no sistema de antiSpam aumenta a proteção da Anvisa contra crescentes ameaças cibernéticas,"Por questões de segurança, e-mails considerados de alto risco, especialmente aqueles contendo scripts maliciosos ou exploits, são bloqueados automaticamente e excluídos.",https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/reforco-no-sistema-de-antispam-aumenta-a-protecao-da-anvisa-contra-crescentes-ameacas-ciberneticas,"Segurança cibernética, AntiSpam, Ameaças cibernéticas "
19/09/2024,Anvisa publica 1º Relatório Anual de Métricas de Inspeções em Boas Práticas Clínicas,Documento apresenta as principais informações referentes às inspeções realizadas em 2023.,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/anvisa-publica-1o-relatorio-anual-de-metricas-de-inspecoes-em-boas-praticas-clinicas,"Boas Práticas Clínicas,  Relatório Anual, Inspeções "
19/09/2024,Participe do webinar sobre atualizações no formulário de registro de cosméticos,"Encontro virtual será no dia 24/9, às 10h. Participe!",https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/participe-do-webinar-sobre-atualizacoes-no-formulario-de-registro-de-cosmeticos,"Convite, Evento online, Registro de cosméticos "
19/09/2024,Confira o que foi destaque na 17ª Dicol,Reunião foi realizada nesta quarta-feira (18/9).,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/confira-o-que-foi-destaque-na-17a-dicol,"Evento, Dicol "
18/09/2024,Anvisa aprova normas sobre atualização das vacinas contra Covid-19,O objetivo da atualização é melhorar as respostas imunológicas induzidas pelas vacinas às variantes circulantes do vírus Sars-CoV-2.,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/anvisa-aprova-normas-sobre-atualizacao-das-vacinas-contra-covid-19,Não classificado
18/09/2024,Anvisa publica retificação do edital de seleção de dispositivos médicos inovadores,Dez projetos foram selecionados para participar do projeto-piloto.,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/anvisa-publica-retificacao-do-edital-de-selecao-de-dispositivos-medicos-inovadores,"Dispositivos Médicos, Edital, Seleção "
18/09/2024,Anvisa participa da 26ª reunião do Comitê Gestor do IMDRF,Fórum reúne autoridades reguladoras de dispositivos médicos de vários países.,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/anvisa-participa-da-26a-reuniao-do-comite-gestor-do-imdrf,"Dispositivos Médicos, Regulamentação, Evento Internacional "
18/09/2024,Anvisa e Unesco selecionam consultor para documentar etapas da pandemia de Covid-19,O período para recebimento dos currículos começa nesta quarta-feira (18/9) e vai até o domingo (22/9). Participe!,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/anvisa-e-unesco-selecionam-consultor-para-documentar-etapas-da-pandemia-de-covid-19-1,"Consultoria, Covid-19, Unesco "
17/09/2024,Anvisa orienta sobre produção e uso de plasma rico em plaquetas,O documento tem como objetivo orientar sobre a produção segura e de qualidade do produto.,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/anvisa-orienta-sobre-producao-e-uso-de-plasma-rico-em-plaquetas,"Plasma Rico em Plaquetas, Orientação, Produção Segura "
17/09/2024,Acompanhe a 17ª Reunião Ordinária Pública da Diretoria Colegiada,"Reunião será transmitida ao vivo, a partir das 9h30 desta quarta-feira (18/9).",https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/acompanhe-a-17a-reuniao-ordinaria-publica-da-diretoria-colegiada,"Reunião Pública, Diretoria Colegiada, Evento online "
17/09/2024,Anvisa apoia Ministério da Saúde na avaliação de projeto de arquitetura para unidades básicas de saúde,Projetos referenciais fazem parte do novo Programa de Aceleração do Crescimento (PAC).,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/anvisa-apoia-ministerio-da-saude-na-avaliacao-de-projetos-de-arquitetura-para-unidades-basicas-de-saude,"Saúde Pública, Ministério da Saúde, Arquitetura, PAC "
16/09/2024,Anvisa realizará diálogos setoriais sobre edulcorantes e dióxido de titânio,Encontros serão no dia 27 de setembro. Qualquer interessado pode participar.,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/anvisa-realizara-dialogos-setoriais-sobre-edulcorantes-e-dioxido-de-titanio,"Diálogos Setoriais, Edulcorantes, Dióxido de Titânio "
16/09/2024,Anvisa alerta sobre risco do uso de medicamentos agonistas GLP-1 em pacientes que serão submetidos a anestesia ou sedação profunda,"Entre esses medicamentos estão a semaglutida, liraglutida, lixisenatida, tirzepatida e dulaglutida. Saiba mais.",https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/anvisa-alerta-sobre-o-risco-do-uso-de-medicamentos-agonistas-glp-1-em-pacientes-que-serao-submetidos-a-anestesia-ou-sedacao-profunda,"Medicamentos, Anestesia, Alerta, Agonistas GLP-1 "
16/09/2024,Anvisa celebra liderança na transformação digital no setor público,Participe do evento sobre a jornada da transformação digital na Agência!,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/anvisa-celebra-lideranca-na-transformacao-digital-no-setor-publico,"Evento, Transformação Digital, Anvisa "
13/09/2024,Anvisa promove seminário para debater sepse e segurança do paciente,Evento realizado em referência ao Dia Mundial da Sepse (13/9) e ao Dia Mundial da Segurança do Paciente (17/9) busca melhorias na assistência à saúde em todo o Brasil.,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/anvisa-promove-seminario-que-debate-sepse-e-seguranca-do-paciente,"Evento, Segurança do Paciente, Sepse "
13/09/2024,Anvisa cria Câmara Técnica de Pesquisa Clínica de Medicamentos e Dispositivos Médicos,"Com a Catepec, a Agência aprimora e consolida a participação social e científica nos processos de regulamentação e avaliação de pesquisas clínicas de medicamentos e dispositivos médicos.",https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/anvisa-cria-a-camara-tecnica-de-pesquisa-clinica-de-medicamentos-e-dispositivos-medicos-catepec,"Dispositivos Médicos, Pesquisa Clinica, Regulamentação, Medicamentos "
13/09/2024,Alteração de ensaios biológicos: participe da consulta pública da Farmacopeia,Proposta inclui método alternativo a testes com animais. Saiba mais.,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/alteracao-de-ensaios-biologicos-participe-da-consulta-publica-da-farmacopeia,"Consulta Pública, Farmacopeia, Ensaios Biológicos, Métodos Alternativos "
11/09/2024,Diretora Meiruze Freitas recebe Medalha de Mérito Oswaldo Cruz,Foram homenageadas pessoas e instituições que contribuíram para melhorar a cobertura vacinal no país.,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/diretora-meiruze-freitas-recebe-medalha-de-merito-oswaldo-cruz,"Homenagem, Cobertura Vacinal, Saúde Pública "
10/09/2024,Norma sobre requisitos de segurança para dispositivos médicos entra em vigor,Nova resolução atualiza regras e inclui dispositivos médicos para diagnóstico in vitro.,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/norma-sobre-requisitos-de-seguranca-para-dispositivos-medicos-entra-em-vigor,"Dispositivos Médicos, Regulamentação, Diagnóstico in vitro "
10/09/2024,Acompanhe o Seminário Segurança do Paciente 2024,Encontro irá debater estratégias para controle de infeções e resistência aos antimicrobianos. Assista ao vivo pelo canal da Anvisa no YouTube.,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/participe-do-seminario-seguranca-do-paciente-2024,"Evento Online, Segurança do Paciente, Infecções, Antimicrobianos "
09/09/2024,Anvisa e PNUD selecionam consultores para atuar na Ouvidoria,O recebimento dos currículos começa nesta segunda-feira (9/9) e vai até o dia 13 de setembro. Participe!,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/anvisa-e-pnud-selecionam-consultores-para-atuar-na-ouvidoria,Não classificado
06/09/2024,Evento aborda implementação do WHODrug e MedDRA no Brasil,Dicionário internacional de medicamentos e vacinas será apresentado na próxima sexta-feira (13/9).,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/evento-aborda-implementacao-do-whodrug-e-meddra-no-brasil,Não classificado
06/09/2024,Confira a gravação do diálogo setorial sobre resíduos de medicamentos veterinários em alimentos,Encontro virtual discutiu atualizações de normas sobre o tema.,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/confira-a-gravacao-do-dialogo-setorial-sobre-residuos-de-medicamentos-veterinarios-em-alimentos,Não classificado
04/09/2024,Anvisa participa de treinamento para autoridades internacionais de segurança de alimentos,"Curso é ministrado pela Anvisa e pelo Mapa, em conjunto com instrutores da Agência de Alimentos de Singapura.",https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/anvisa-participa-de-treinamento-para-autoridades-internacionais-de-seguranca-de-alimentos,Não classificado
03/09/2024,Anvisa esclarece sobre tratamentos administrativos na importação de insumos,Novos tratamentos estão relacionados à importação de insumos para fabricação de produtos sujeitos à fiscalização sanitária.,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/anvisa-esclarece-sobre-tratamentos-administrativos-na-importacao-de-insumos,Não classificado
03/09/2024,Acompanhe a 16ª Reunião Pública da Diretoria Colegiada,"Reunião será transmitida ao vivo, a partir das 9h30 desta quarta-feira (4/9).",https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/acompanhe-a-16a-reuniao-publica-da-diretoria-colegiada,Não classificado
03/09/2024,Anvisa publica novas regras para monitoramento pós-mercado de cosméticos,Novo regulamento entra em vigor em 12 meses.,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/anvisa-publica-novas-regras-para-monitoramento-pos-mercado-de-cosmeticos,Não classificado
03/09/2024,Diálogo setorial virtual irá abordar resíduos de medicamentos veterinários em alimentos,"Encontro será na quinta-feira (5/9), às 10h. Participe!",https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/dialogo-setorial-virtual-ira-abordar-residuos-de-medicamentos-veterinarios-em-alimentos,Não classificado
02/09/2024,Saiba mais sobre o projeto de Identificação Única de Dispositivos Médicos,Veja as atualizações do projeto-piloto em andamento na Anvisa.,https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2024/saiba-mais-sobre-o-projeto-de-identificacao-unica-de-dispositivos-medicos,Não classificado
